"Question","Answer"
"What are some interesting facts about Blase Boise'?","Sorry, no answer found for Blase Boise'."
"Who are the experts on Blase Boise'?","Sorry, no answer found for Blase Boise'."
"What are the benefits of learning about Blase Boise'?","Sorry, no answer found for Blase Boise'."
"What are the challenges of learning about Blase Boise'?","Sorry, no answer found for Blase Boise'."
"What is the history of Blase Boise'?","Sorry, no answer found for Blase Boise'."
"What are the future trends of Blase Boise'?","Sorry, no answer found for Blase Boise'."
"What is End of Work Asshole?","Sorry, no answer found for End of Work Asshole."
"Can you explain End of Work Asshole?","Sorry, no answer found for End of Work Asshole."
"What are the key points of End of Work Asshole?","Sorry, no answer found for End of Work Asshole."
"How does End of Work Asshole relate to So, I was sitting at my desk, minding my own business, after having promptly updated the server for the current project, when He walked in.  He's been pissing me off a lot lately.  Yesterday, he commented to the mailroom boys that I smoked crack, which asside from how lame a comment it is, its offensive.  So, today he decides to play his little power trip game at my expense.  I'm seriously infuriated.  The complete lack of conceiving how long it takes to process his request of muthafucking 50,000 sheets is aggrivating.  After entering our office, he immediately sets in on invading my desk.  Usually he goes through my cd's and whatever items are laying out, but today he went through Suzanne's.  I felt overjoyed to be on the phone with the US Dept of Education because it meant I wouldn't have to speak with him, but no...oh no no no.  He sarcastically instructed Suzanne to make ""me"" do the project.  It was said in a very condescending manner... as if, why are you doing this, when that idiot over there can?  She of course payed no attention to his stupidity and kept on working.  After realizing she wasn't going to join him in his retarded game, he came over to my desk and told me to ""shhhh shhhh""....to which I said, ""dont shhh me"".  He then asked for my manager muttering how he'd seen me earlier in the day at a coffee shop talking for and hour (lies) and outside smoking for another hour (lies)...I explained despite futility, that those are called ""designated breaks"" and by law we are entitled to them.  He of course could not stomach such blasphemy and got in my face.  He then demanded I dial the phone number of my boss for him.  I said, if you want to call her, you may do so however I'm not going to dial it.  So, the asshole fucking calls her at home, all the while keeping his face within inches of mine, staring me down.  Then he tells her I have an attitude problem, but otherwise am a good employee....I seriously fucking hate him....he's sick.  He's made disgusting comments, that I ignored, he constanting harasses me and I'm soooo sick of it.  I dont care if he wears a fucking suit and tie, he's an asshole jock...augh!!!!!?","Sorry, no answer found for End of Work Asshole."
"What are some interesting facts about End of Work Asshole?","Sorry, no answer found for End of Work Asshole."
"Who are the experts on End of Work Asshole?","Sorry, no answer found for End of Work Asshole."
"What are the benefits of learning about End of Work Asshole?","Sorry, no answer found for End of Work Asshole."
"What are the challenges of learning about End of Work Asshole?","Sorry, no answer found for End of Work Asshole."
"What is the history of End of Work Asshole?","Sorry, no answer found for End of Work Asshole."
"What are the future trends of End of Work Asshole?","Sorry, no answer found for End of Work Asshole."
"What is Five Years old On Three Hits of Acid?","Sorry, no answer found for Five Years old On Three Hits of Acid."
"Can you explain Five Years old On Three Hits of Acid?","Sorry, no answer found for Five Years old On Three Hits of Acid."
"What are the key points of Five Years old On Three Hits of Acid?","Sorry, no answer found for Five Years old On Three Hits of Acid."
"How does Five Years old On Three Hits of Acid relate to My day has been uneventful.  I'm gonna see Apples in Stereo tomorrow at the neurolux.  So, uh..... yea... I have nothing to say accept I recieved the absolutely RAdest package in the mail today from one of my BESTEST friends and if she's reading this...yay!!!!  We must play again... I found a tape of our band in da LBC, and it was so funny, and I miss her bass playing....  sooo sad.  The flyers were Rad!!  

/*five years old on three hits of acid

you take one hit thats all you need
rip your soul and make your mind bleed
take one hit thats all you'll need
that little guy thought he needed three

he was five years old on three hits of acid

when your five your so alive
glad to see each new day arrive
when your five and your so alive
three hits of acid gets you pretty high

he was five  years old on three hits of acid?","Sorry, no answer found for Five Years old On Three Hits of Acid."
"What are some interesting facts about Five Years old On Three Hits of Acid?","Sorry, no answer found for Five Years old On Three Hits of Acid."
"Who are the experts on Five Years old On Three Hits of Acid?","Sorry, no answer found for Five Years old On Three Hits of Acid."
"What are the benefits of learning about Five Years old On Three Hits of Acid?","Sorry, no answer found for Five Years old On Three Hits of Acid."
"What are the challenges of learning about Five Years old On Three Hits of Acid?","Sorry, no answer found for Five Years old On Three Hits of Acid."
"What is the history of Five Years old On Three Hits of Acid?","Sorry, no answer found for Five Years old On Three Hits of Acid."
"What are the future trends of Five Years old On Three Hits of Acid?","Sorry, no answer found for Five Years old On Three Hits of Acid."
"What is Apples in Mono?","Sorry, no answer found for Apples in Mono."
"Can you explain Apples in Mono?","Sorry, no answer found for Apples in Mono."
"What are the key points of Apples in Mono?","Sorry, no answer found for Apples in Mono."
"How does Apples in Mono relate to So, I sit here contemplating what to do..what to do.  To go or not to go...hmmm...  I suppose I should, since the next decent show isn't for a while still.  I've become so exhausted with my current life.  I'm not sure that anything will change simply from new scenery.  Had I never left, would I still feel this odd constant questioning as to anyone knowing me.  Sometimes I get these ""panick attacks"" that I dont even know myself, and I think if I can find one person who knows the real me, It'll solve everything...but noone like that exists.  Maybe once upon a time, there was Sara and Paul, but they've since disappeared.  Stephanie has become a tyrant, Jeremy her lap dog. Aaron is actually busy now, and Leann got married and moved to Indiana.  Melody is in New York and basically I'm still a Pacific Coast Confusion.  If I defined myself by some standards easily recognizable........ 

Rob was a jerk!!  He totally snubbed me... Some former roommate solidarity... psh!!?","Sorry, no answer found for Apples in Mono."
"What are some interesting facts about Apples in Mono?","Sorry, no answer found for Apples in Mono."
"Who are the experts on Apples in Mono?","Sorry, no answer found for Apples in Mono."
"What are the benefits of learning about Apples in Mono?","Sorry, no answer found for Apples in Mono."
"What are the challenges of learning about Apples in Mono?","Sorry, no answer found for Apples in Mono."
"What is the history of Apples in Mono?","Sorry, no answer found for Apples in Mono."
"What are the future trends of Apples in Mono?","Sorry, no answer found for Apples in Mono."
"What is Nothing?","Sorry, no answer found for Nothing."
"Can you explain Nothing?","Sorry, no answer found for Nothing."
"What are the key points of Nothing?","Sorry, no answer found for Nothing."
"How does Nothing relate to I slept for 12 hours and I'm still tired and cold.  What the hell is wrong with me?  For the past few weeks I've meant to get in contact with my brother, Albert, but somehow I keep forgetting.  I could pretend I'm just too busy, but I'm not.  I have nothing to do, really.  Aside from my daily coffee indulgences, and local chit chat, my schedule is pretty much empty.  

Yesterday, I had this scary anxious desire to walk out of my job.  All because the tab settings were pissing me off and I had to throw away hundreds of sheets of paper.  I've never been a huge environmentalist, but somehow,  always friends with them, so I'm hyper aware of how much of the resources are wasted.  Well, obviously working with tons of paper, some is inevitably going to be thrown out.  I simply had no idea how much...  For instance, you cant recycle Color Expressions Paper, Dyed Paper, Textured Paper, or Tabs, yet all come from the same source...  All we recycle is the plain 20# Bond... which is usually not screwed up in high volumes...oh and we cant recycle Card Stock...  I'm going to hell.

So, I was online last evening speaking to my recently transplanted friend now in Boston, and she got a bit irate with me.  I think she's homesick.  I'm homesick...but my definition is different.   Also online was my charming former roommate, Robert from Boston, now in Ca.  What a nice guy he was...  I remember all the times we'd walk down the streets of Long Beach and I'd listen to his horrid tales of being jacked over by Jen Snay's roommate Sandy, a.ka. ""Asreal"". So I haven't spoken to him in months, and after all the shit I heard from him, you'd think he'd want to stay in Boston and never see the behemaut again.  Aahhhh, but alas, he's living amidst her evilness, as I'm sure I'm now the evil wench who convinced him to avoid her magesty.  Screw them all!!!  How on earth do these people say anything with a straight face?  She was jealous of my cats death!!! What the hell is that?  Apparently his death brought on too much sympathy... Fuck sympathy!!  I'm not some reactionary emotional glutton...  oh...wait, maybe I am.  

So, at this point I'd prefer complacency and maybe electroshock therapy.  I dont want to think anymore.  I cant even articulate the thoughts... let alone type them.  And oh god.... multi-tasking will be the death of me for sure.  I'm already cluttered, why must we throw in separate jobs for me to do simultaneously?  Its just too early for me to be here.  I wish I was still 8 years old playing ""freeze tag"" with the neighborhood kids in the yard.  Or riding my bike with that complete abandonment that makes me forget I'm even in a world with other people.  
How lonely could I get if there were noone else here?  There is noone else ""here"" currently and I'm actually really calm accept for my burning desire to go upstairs and get more coffee..... More coffee will sweeten this whole altered-reality in the plaza.  

One more immediate thought.  Why am I Catholic?  Why do I fear god?  Why did that sentence make me tense even typing it?  If god is real and I'm not a victim of being young and in my parents hands, than why do I constantly doubt this whole religion?  Not only doubt it...but I mean, It doesn't make sense... no religions do.  Once having being yelled at by my atheist best friend, ""your too intelligent for this!!  Why do you still believe it!!""  as I cried, unsure of really how to answer that.  I suppose the christian answer is faith.  But aside from George Michael's ass shaking, that word means nothing to me.  If I'm truely catholic, why do I place my suicides in a fate other than hell?  Catholics have all these rules.  I make acceptions.  Scott is NOT in hell.... I honestly believe this... and I dont think Gay people are evil...thats absurd.  I never go to confession because I'm ""afraid"" of being excommunicated....whats that about?  I already know we stole tons of fables from the Zoarastrians.  So, why the fuck do I still call myself a Catholic? Why am I afraid to just let go!?  My brother has....although he's let go of many things.  I'm actually freaked out that I would even question this.  I'll dream of plaid skirts and white shirts, and required knee high socks... as we are slammed with the yard stick for bending our elbows on the ledge of the alter, and I ate meat on friday, and forgot ash wednesday, and didn't so anything for easter.   

I should do something productive now.?","Sorry, no answer found for Nothing."
"What are some interesting facts about Nothing?","Sorry, no answer found for Nothing."
"Who are the experts on Nothing?","Sorry, no answer found for Nothing."
"What are the benefits of learning about Nothing?","Sorry, no answer found for Nothing."
"What are the challenges of learning about Nothing?","Sorry, no answer found for Nothing."
"What is the history of Nothing?","Sorry, no answer found for Nothing."
"What are the future trends of Nothing?","Sorry, no answer found for Nothing."
"What is Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill?","Sorry, no answer found for Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill."
"Can you explain Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill?","Sorry, no answer found for Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill."
"What are the key points of Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill?","Sorry, no answer found for Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill."
"How does Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill relate to After much debate as to whether or not I should call, I surrendered my ego and gave Jeremy a ring.  He is one of my best friends and I miss seeing him around.  If I am going to be in this state, I might as well enjoy the company of those who voluntarily submit themselves to being locals.  Our discussions aren't interesting anymore though.  He's upset that his girlfriend is a tyrant and resents that I'm not a willing participant in her manipulative games.  I sensed his walking the edge as he spoke.  I know he wants to be mad at one of us...me or her.  He knows I'm not going anywhere, so maybe I'm the easy target to be dismissed... but somehow I dont see him doing that.  I'd expect that from someone with less integrity, but not of him.  I feel bad for him, in that he's ""trapped"" in this lease-bound relationship, where he isn't allowed to do any of the things that make him who he is.  To be an emotional prisoner, living your life soley to comfort someone elses lacking personality.  Not to sound completely against her, but she's CHANGED!!! not in the gradual way that most do... but in a drastic psychotic way that you fear.  I'd speak with her, but I dont have anything to offer in a positive light that wont tip her to the defensive or help the situation.  So, as we were ending the coversation, I hear this blaring ""I CANT BELIEVE YOU TALK ABOUT ME WHEN I'M IN THE NEXT ROOM!!""  It was Stephanie, sharing her comments with anyone in a 5 block radius.  So, I simply ended it, ""I gotta go...bye""...

I gotta go now too.......its LUNCH!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

S:Where you wanna go?
J: hmmm....... 
S: I'm gonna call you Barbara.
J: why?
S: this should make for an interesting discussion
seeing as we can only be strict carnivores, this leaves me out of your lunch dates..
J:Why do you have to hurt me like this?!!!! I gave you the best minutes of my life..
S: because you're hurting the animals
J:They need to die!!!!!!!!!!!!!!!!!
S: gasp!!!
J: where do you wanna go seriously?
S: why dont you eat your dog.
now that I'm full, I'm a pig, you wanna eat me?
J:?
S: cuz I'm a pig...get it!!!!!!!!!!1
J: slaps knee!! (woo hoo) and  cackles.... and claps hands in joy

to be continued?","Sorry, no answer found for Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill."
"What are some interesting facts about Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill?","Sorry, no answer found for Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill."
"Who are the experts on Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill?","Sorry, no answer found for Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill."
"What are the benefits of learning about Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill?","Sorry, no answer found for Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill."
"What are the challenges of learning about Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill?","Sorry, no answer found for Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill."
"What is the history of Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill?","Sorry, no answer found for Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill."
"What are the future trends of Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill?","Sorry, no answer found for Yard Sales, Camping, Janes Addiction, Driving out of State, and Built To Spill."
"What is These armpit stain signify the love I felt for you long ago?","Sorry, no answer found for These armpit stain signify the love I felt for you long ago."
"Can you explain These armpit stain signify the love I felt for you long ago?","Sorry, no answer found for These armpit stain signify the love I felt for you long ago."
"What are the key points of These armpit stain signify the love I felt for you long ago?","Sorry, no answer found for These armpit stain signify the love I felt for you long ago."
"How does These armpit stain signify the love I felt for you long ago relate to Basking in the glory of a job not done, I need to be more productive.  A stack of unentered job tickets are lying on my desk, next to a pile of blank quality check forms.  Billing is coming up soon, and I've yet to even update my OPM's....okay...this should mean nothing to me...as I'm sure it means nothing to anyone outside the xerox web.  I've had over 30 jobs in my life and I'm cluttered with these jobspeak terms that noone will ever concern themselves with yet there is no dumping ground for such useless....uh...knowledge.  For instance,  C-Res B1k.... Central Reservations wants a nonview one person, king size bed room.....  

Rp Cld Sd Wntd $25 Rfnd, spk to Blng, nthng on nts rgrdng, rfr to ""perm 0817"", PANKD, arts nt md, trsfrd 2 RMC to rmv ftrs.

That shouldn't make any sense to me...... WHY!!! 

Why do I have to know for the rest of my life that Idaho and Utah are the only states that have pre-deny status for removing their landlines?

Hardlines, Softlines..... augh!!!!!!!!!

So, yet another meaningless job fills my head with their useless jargen that could easily be transferred to regular vernacular....   and I must get to updating X-Cams, and do my OPM""s...or my CAM will call.?","Sorry, no answer found for These armpit stain signify the love I felt for you long ago."
"What are some interesting facts about These armpit stain signify the love I felt for you long ago?","Sorry, no answer found for These armpit stain signify the love I felt for you long ago."
"Who are the experts on These armpit stain signify the love I felt for you long ago?","Sorry, no answer found for These armpit stain signify the love I felt for you long ago."
"What are the benefits of learning about These armpit stain signify the love I felt for you long ago?","Sorry, no answer found for These armpit stain signify the love I felt for you long ago."
"What are the challenges of learning about These armpit stain signify the love I felt for you long ago?","Sorry, no answer found for These armpit stain signify the love I felt for you long ago."
"What is the history of These armpit stain signify the love I felt for you long ago?","Sorry, no answer found for These armpit stain signify the love I felt for you long ago."
"What are the future trends of These armpit stain signify the love I felt for you long ago?","Sorry, no answer found for These armpit stain signify the love I felt for you long ago."
"What is Please forgive me Jose Jones?","Sorry, no answer found for Please forgive me Jose Jones."
"Can you explain Please forgive me Jose Jones?","Sorry, no answer found for Please forgive me Jose Jones."
"What are the key points of Please forgive me Jose Jones?","Sorry, no answer found for Please forgive me Jose Jones."
"How does Please forgive me Jose Jones relate to I'm saving money finally for the big move to another villa.  I'm oversaturated with mix tape lovin' and lovin' it.  

Last evening, we were dining at a ""family restaurant"", and as we departed these boys in an enormous pickup truck, yelled, ""Cherish whats on your windshield!!"".  We feared it was going to be some vile substance, but it was in fact an idiotic ""wanted"" poster for Osamu Bin Ladin.  So I graciously removed it and ripped it up and these fucked up boys gasped.  They then began some kind of chanting that I'm a ""pakistani lover""and was from Afghanistan.  So I yelled back that I was from Packistan..and their yelling got a bit frightening so we peeled outta there...

This is exactly the shit I dont want to deal with...god forbid I really was from Pakistan, would I have gotten the ass kicking of a lifetime? 
So, I'm putting it behind me or I'll be consumed with hate much like theirs.  So I hear we're at War as I wake up and exchange casual banter with my friend's neighbor.  On such a beautiful day, why do I have to represent something that destroys others?  I'd defect but lets face it, where the fuck would I go?  I'm a hypocrite, because I know nothing other than my comfortable existence, which despite the trivial shit I deal with, creates a comfort zone.  I've never been in fear of my life or woke up not knowing whether my brothers were murdered or imprisoned.  Growing up as a little tot, I lived in poverty but was so unaware of my social lackings.  I had a childhood so sheltered by my mom's sacrifices.  She gave up most conveniences to disguise the poverty.  I remember the free lunches at the park, but I thought we did that so we could play.  Awwww...ignorance is bliss.  And she recalls how she spent saved money to buy me dresses because I was her little girl.  I hated all clothes at that time...so she could've spared me that extravagance, but I'm still greatful, since in pictures we will appear to be nothing other than a nuclear family, and isn't that what this world loves?  Appearances. 

My brothers both verbally assaulted me yesterday because I said Dire Straights was horrid music.  I'll stand by my comment, but to label me as being a superficial snob because of that, hardly seems accurate.  I hate arguing with Albert because he can always shoot you down, with his vast anals of knowledge filed neatly in his memory.  I think we ended on good terms, and as a nonsequitor to tie this meandering editorial togther, I'm glad they aren't younger than me.  If they were I'd fear they were going to be shipped off to fight some fucked up War against the people in the mirror.  We are everything we hate in Afghanistan.  Money is our motivator, and Bush is the cowardly Tyrant hiding behind his Pen.  Hobbes..... why do you have to be so right??","Sorry, no answer found for Please forgive me Jose Jones."
"What are some interesting facts about Please forgive me Jose Jones?","Sorry, no answer found for Please forgive me Jose Jones."
"Who are the experts on Please forgive me Jose Jones?","Sorry, no answer found for Please forgive me Jose Jones."
"What are the benefits of learning about Please forgive me Jose Jones?","Sorry, no answer found for Please forgive me Jose Jones."
"What are the challenges of learning about Please forgive me Jose Jones?","Sorry, no answer found for Please forgive me Jose Jones."
"What is the history of Please forgive me Jose Jones?","Sorry, no answer found for Please forgive me Jose Jones."
"What are the future trends of Please forgive me Jose Jones?","Sorry, no answer found for Please forgive me Jose Jones."
"What is Memo:Please note the following changes to your process?","Sorry, no answer found for Memo:Please note the following changes to your process."
"Can you explain Memo:Please note the following changes to your process?","Sorry, no answer found for Memo:Please note the following changes to your process."
"What are the key points of Memo:Please note the following changes to your process?","Sorry, no answer found for Memo:Please note the following changes to your process."
"How does Memo:Please note the following changes to your process relate to Today I embark on yet another fucked up angry nothing.  I'm no longer able to go to the coffee shop across the street due to my thriftiness.  Smoking is a thing of the past, as I cant justify buying cigarettes and not coffee.....  I'm in love with my mix o' tunes sent by Maria, and its odd that I forgot how much I love getting mix tapes....I'm so consumed with producing them... 

I could barely lift my head this morning, not that I ever really want to wake up.  My mother's suspicion that my sleeping patterns are the product of depression are unfounded, as she has no idea of my concious day's activities.  I'm just not a morning person....to be cliche and honestly if given the chance I'm positive I could sleep through an entire day...without concern for lost time.  What did I really lose?  Potential Memories of sitting on my ass at some coffee shop, walking around Boise, riding my bike, being a mass consumer, smoking, painting, talking too much?  Nah....I could do all those things in my sleep in technicolor with distorted faces and recant them with the same ferver as those that actually transpired.

I have this overwheming desire to move to the east coast all though I know that will never happen.  My western naive existence is causing this ""left out"" feeling.  My friend Wison called me last night around midnight to rant about how his city was trite.  The fact that someone could envy boutiques spattered in the middle of nowhere when they live in a metropolis, is beyond me.  

I'm going to be in my friend Leann's wedding...  She called me last week to be one of her bridesmaids.  She promised the dress I'd have to purchase wouldn't be grotesque.  I've known her since highschool.   Honestly, we weren't friends at first.  She shared a seat with me in the English class prior to mine.  One particular day, she left her binder on the desk and when I found it, I read her journal entries, her essays, just other personal things...  Then I looked on the cover and she had some bands scrawled across the front and some misdrawn logos and correlations.  I carefully wrote out the origins of some of the bands and labels....with dates and names that she could easily reference.  Then I showed the binder to my friend, Paul who laughed and snatched it away.  He added his own little trivial music contributions.  After School, Paul and I put on masks and drove to Leann's house where we ripped her binder open and scattered its entrials across her front lawn.  
The following semester she sat behind me in a math class, and we formed an alliance against this kid named Jared...who would draw you to piss you off.  He'd stare at you and sketch and for some reason it bothered her more than seemed appropriate.  I thought she was going to cry every time...  We eventually started ditching school together, each time realizing there was nothing to do, and school would probably be more fun than sitting in my car, listening to mix tapes.  We expanded into shop lifting from a craft store, total loot costing around 89 cents.  Plastic eyeballs, rings, patches, and buttons....

Well, she's getting married and I'm a major player in her wedding scene.?","Sorry, no answer found for Memo:Please note the following changes to your process."
"What are some interesting facts about Memo:Please note the following changes to your process?","Sorry, no answer found for Memo:Please note the following changes to your process."
"Who are the experts on Memo:Please note the following changes to your process?","Sorry, no answer found for Memo:Please note the following changes to your process."
"What are the benefits of learning about Memo:Please note the following changes to your process?","Sorry, no answer found for Memo:Please note the following changes to your process."
"What are the challenges of learning about Memo:Please note the following changes to your process?","Sorry, no answer found for Memo:Please note the following changes to your process."
"What is the history of Memo:Please note the following changes to your process?","Sorry, no answer found for Memo:Please note the following changes to your process."
"What are the future trends of Memo:Please note the following changes to your process?","Sorry, no answer found for Memo:Please note the following changes to your process."
"What is Bert is evil!!!!!?","Sorry, no answer found for Bert is evil!!!!!."
"Can you explain Bert is evil!!!!!?","Sorry, no answer found for Bert is evil!!!!!."
"What are the key points of Bert is evil!!!!!?","Sorry, no answer found for Bert is evil!!!!!."
"How does Bert is evil!!!!! relate to http://www.fractalcow.com/bert/bert.htm

HAHAHAHHAAHHAHAHHAHAHA?","Sorry, no answer found for Bert is evil!!!!!."
"What are some interesting facts about Bert is evil!!!!!?","Sorry, no answer found for Bert is evil!!!!!."
"Who are the experts on Bert is evil!!!!!?","Sorry, no answer found for Bert is evil!!!!!."
"What are the benefits of learning about Bert is evil!!!!!?","Sorry, no answer found for Bert is evil!!!!!."
"What are the challenges of learning about Bert is evil!!!!!?","Sorry, no answer found for Bert is evil!!!!!."
"What is the history of Bert is evil!!!!!?","Sorry, no answer found for Bert is evil!!!!!."
"What are the future trends of Bert is evil!!!!!?","Sorry, no answer found for Bert is evil!!!!!."
"What is Pedantic Loser Boys?","Sorry, no answer found for Pedantic Loser Boys."
"Can you explain Pedantic Loser Boys?","Sorry, no answer found for Pedantic Loser Boys."
"What are the key points of Pedantic Loser Boys?","Sorry, no answer found for Pedantic Loser Boys."
"How does Pedantic Loser Boys relate to I missed out on the fun roadtrip.... but I got to enjoy an enthralling conversation with my chum, Aaron.  That counts for 2 1/2 roadtrips.  I'd love to journey off to seattle for a fun-filled weekend of passing time, but alas, I'm not sure how the finances will look in two weeks.  I wonder if there are any smashing good shows around then.  
The record exchange guy is creepy.  He always says my name like I'm some sorta press person.....  It makes me uneasy...  Its weird because he's got one of those penetrating glances that make you feel like you're being visually violated.  Aside from my disdain for singing children, thats the highest ranking annoyance.  I hate it when people stare at me.....and make me feel all wierded out.  This annoying guy in highschool used to do that all the damned time and he knew it made me uncomfortable.....  He'd just sit there and stare, and when you caught his eyes, he'd just fixate....gawd!!! 
So, I need new music ....what to buy oh shite....my ebay!!!! nevermind!!!?","Sorry, no answer found for Pedantic Loser Boys."
"What are some interesting facts about Pedantic Loser Boys?","Sorry, no answer found for Pedantic Loser Boys."
"Who are the experts on Pedantic Loser Boys?","Sorry, no answer found for Pedantic Loser Boys."
"What are the benefits of learning about Pedantic Loser Boys?","Sorry, no answer found for Pedantic Loser Boys."
"What are the challenges of learning about Pedantic Loser Boys?","Sorry, no answer found for Pedantic Loser Boys."
"What is the history of Pedantic Loser Boys?","Sorry, no answer found for Pedantic Loser Boys."
"What are the future trends of Pedantic Loser Boys?","Sorry, no answer found for Pedantic Loser Boys."
"What is Too much?","Sorry, no answer found for Too much."
"Can you explain Too much?","Sorry, no answer found for Too much."
"What are the key points of Too much?","Sorry, no answer found for Too much."
"How does Too much relate to I was thinking how odd it would be if I put what would go in my ""actual"" journal in this.   I sincerely desire complete void of thought.  This nation is sick with its ""god bless america"" irony.  We salute, waive our flags and with the same hand over our hearts, we slap arab americans and those of any faith adverse to ours.  I say this in an inclusive manner, because although I feel separated from my fellow citizen right now, I cannot help but also feel that I only say these things from my cozy well-heated insulated faction of naivete.   We are one nation under god, above the law, and the ultimate judge.  A super ego out of control.  Since my departure from absorbing the current affairs of the world, I feel empty but relieved.  Being forced to listen to Dr. Laura enrages me, with no outlet to vent asside from my clever aquaintences...but what does that accomplish?  This feeling of helplessness is pervasive creating an environment for comradery, however this duel acceptance/resentment is tearing whats left of my loyalties to anything governmental.  
Symbolism is unavoidable in every facet of my daily life.  My routines have been disrupted to the tune of the national anthem.  The testimonials of those who lost someone dear, aggitate my senses, but I'm more annoyed that it bothers me than sympathetic to thier loss.  Everything out of Bush's mouth sounds like a one-liner from some summer action film.   ""we told them turn over the terrorists or face your ruin......they chose unwisely"".
So, now we attack a nation but our doublespeak to distinguish what separates ""us"" from ""them"" is licentious.  This afghan woman called the Dr. Laura show (what she was thinking?)... and attempted to comment on how she is saddended that her extended family in afghanistan are victims of our nations arrogant attacks, and was dramatically interupted by an enraged Dr. Laura....whose rebuttals....were..""you mean you are sad that the TALIBAN is hurting your people""!..... (repeat 4 times with increased intensity)....then she jumped into her speech, most likely hearing american anthems swelling in her head, as background music to her tyrade, claiming the she doesn't understand how the ""uneducated"" can call her show claiming that afghanistan is comprised of innocent people as well as the american designated ""evil-doers"".  She persisted to point out that when ""they"" made the delibererate attack on america, it was an attrocity, and what america is doing is ""defending"" our nations liberties.....  I've always heard that random cliche ""perception is reality"" and scoffed at that in disgust...  Obviously a majority of America's population agrees, therefore it is?  My own parents are in disagreement on this issue.  My father, who was in the navy for 22 years, agrees that ""something has to be done"" while my mother comments, ""I hardly call bombing a poor nation, war...its murder""  She encourages me to be complacent with my fellow americans as to not fuel the fires, as she's afraid of retaliation in the heat of patriotism.  If someone killed me, I'm assured a lovely portrayal on the nightly news as a militant anti-government anarchist.  How far from the truth is that?  I've had encounters with angry youths shouting epithets and attempting to acquire my social acceptance in their plight to kill all that is muslim/arab....or vaugely un-aryan.  In a sad way, I identify with the underdogs of this country.  This town always rejected my non-commited racial identy.  You have to be one or the other..... thats how it.  Dont question anything, or you'll perpetually be the rejected, the refused, the tormented.  I've adapted to this reality, quietly thinking its not my conception.  Digressing in conversations is not my preferred path, but for now . . .?","Sorry, no answer found for Too much."
"What are some interesting facts about Too much?","Sorry, no answer found for Too much."
"Who are the experts on Too much?","Sorry, no answer found for Too much."
"What are the benefits of learning about Too much?","Sorry, no answer found for Too much."
"What are the challenges of learning about Too much?","Sorry, no answer found for Too much."
"What is the history of Too much?","Sorry, no answer found for Too much."
"What are the future trends of Too much?","Sorry, no answer found for Too much."
"What is Cant keep my eyes opened?","Sorry, no answer found for Cant keep my eyes opened."
"Can you explain Cant keep my eyes opened?","Sorry, no answer found for Cant keep my eyes opened."
"What are the key points of Cant keep my eyes opened?","Sorry, no answer found for Cant keep my eyes opened."
"How does Cant keep my eyes opened relate to She took the radio with her..... oh lord, what will I do.  I've already read the paper.  I have nothing to keep me awake.  I didn't go to bed till 3AM, and even then I was awakened around 4 by my leg being grabbed as my friend was afraid someone was outside.....  ""I remember sayin, hey....man, I really need to sleep....I know this movie is bad...I really need to sleep"".  I dont think the movie was even on anymore.  (Celebrity is horrid...why is it in woody allen movies people seem to stutter more...its like noone can get their words out, and when they do they are so anxious about it...)
Oh how will I make it through the day?  HOW??!!!!  No stimuli......  nothing......  plus I think I forgot a weeks worth of billing.....and now we're severely below normal net.  I need music, talk radio....something to make me move!!!!!!!!!!!!!!!!!!!!!!!!!!!?","Sorry, no answer found for Cant keep my eyes opened."
"What are some interesting facts about Cant keep my eyes opened?","Sorry, no answer found for Cant keep my eyes opened."
"Who are the experts on Cant keep my eyes opened?","Sorry, no answer found for Cant keep my eyes opened."
"What are the benefits of learning about Cant keep my eyes opened?","Sorry, no answer found for Cant keep my eyes opened."
"What are the challenges of learning about Cant keep my eyes opened?","Sorry, no answer found for Cant keep my eyes opened."
"What is the history of Cant keep my eyes opened?","Sorry, no answer found for Cant keep my eyes opened."
"What are the future trends of Cant keep my eyes opened?","Sorry, no answer found for Cant keep my eyes opened."
"What is Lunch Meat on the Tour Bus?","Sorry, no answer found for Lunch Meat on the Tour Bus."
